Grid 座標,discount factor
0_0,0.3/0.9/0.3/0.69449/0.3/0.3/0.3/0.3
0_1,0.3/0.43638/0.68073/0.55197/0.3/0.55602/0.3/0.32028
0_2,0.3/0.53606/0.55858/0.5093/0.3/0.3/0.3/0.3
0_3,0.3/0.3/0.72106/0.60534/0.3/0.32053/0.3/0.36304
0_4,0.3/0.54984/0.50086/0.61222/0.3/0.3/0.3/0.3
0_5,0.3/0.34667/0.9/0.3/0.3/0.36411/0.3/0.3
1_0,0.41314/0.9/0.3/0.46518/0.3/0.3/0.3/0.39871
1_1,0.40229/0.59559/0.72101/0.58091/0.3/0.53315/0.30577/0.32393
1_2,0.44158/0.51077/0.50963/0.44838/0.3/0.37714/0.3/0.3
1_3,0.3/0.3/0.64195/0.73723/0.30927/0.31658/0.3/0.37803
1_4,0.46839/0.55866/0.41702/0.48674/0.3/0.3/0.3/0.35004
1_5,0.36094/0.50457/0.9/0.3/0.3/0.37835/0.30959/0.3
2_0,0.9/0.32716/0.3/0.71594/0.3/0.3/0.3/0.3
2_1,0.38228/0.30653/0.9/0.4678/0.31935/0.3/0.61224/0.3
2_2,0.4808/0.3/0.59054/0.47961/0.3/0.3/0.3/0.3
2_3,0.32118/0.3/0.63586/0.6696/0.36269/0.3/0.32018/0.3
2_4,0.56315/0.4465/0.41441/0.56067/0.3/0.3/0.3/0.36426
2_5,0.40475/0.49594/0.83584/0.3/0.3/0.3/0.38043/0.3
3_0,0.9/0.3/0.3/0.50857/0.37855/0.3/0.3/0.3
3_1,0.62221/0.3/0.54646/0.38815/0.34652/0.3/0.53283/0.3
3_2,0.52804/0.3/0.45191/0.45485/0.3/0.3/0.37851/0.3
3_3,0.44087/0.3/0.44552/0.53061/0.37936/0.3/0.33003/0.3
3_4,0.6278/0.3/0.3/0.7445/0.3507/0.3/0.3/0.3
3_5,0.71057/0.3/0.70299/0.3/0.3/0.3/0.3784/0.3
